Date,Open,High,Low,Close,Volume
2025-02-17 05:15:00,44559.06,44561.06,44554.06,44556.06,98
2025-02-17 05:30:00,44557.06,44557.06,44546.56,44548.56,134
2025-02-17 05:45:00,44549.06,44556.56,44549.06,44555.56,116
2025-02-17 06:00:00,44556.06,44556.06,44550.06,44551.06,74
2025-02-17 06:15:00,44552.06,44556.06,44551.56,44556.06,52
2025-02-17 06:30:00,44557.06,44569.06,44556.06,44566.06,99
2025-02-17 06:45:00,44565.06,44571.56,44565.06,44570.06,80
2025-02-17 07:00:00,44570.56,44578.46,44568.06,44578.06,187
2025-02-17 07:15:00,44578.56,44581.56,44575.06,44578.06,111
2025-02-17 07:30:00,44578.06,44578.06,44567.56,44572.06,91
2025-02-17 07:45:00,44573.06,44576.06,44570.06,44571.06,70
2025-02-17 08:00:00,44571.56,44576.06,44565.56,44569.06,120
2025-02-17 08:15:00,44569.56,44573.06,44568.06,44570.56,70
2025-02-17 08:30:00,44570.06,44571.06,44558.46,44564.06,123
2025-02-17 08:45:00,44565.06,44568.06,44562.06,44568.06,111
2025-02-17 09:00:00,44568.06,44570.16,44556.66,44557.16,164
2025-02-17 09:15:00,44556.66,44562.66,44555.16,44562.66,115
2025-02-17 09:30:00,44562.16,44564.16,44555.16,44555.16,143
2025-02-17 09:45:00,44555.16,44556.16,44539.16,44541.16,160
2025-02-17 10:00:00,44540.66,44558.16,44540.16,44554.16,357
2025-02-17 10:15:00,44553.16,44558.16,44537.66,44541.16,306
2025-02-17 10:30:00,44540.16,44545.66,44536.16,44540.16,196
2025-02-17 10:45:00,44540.66,44552.16,44540.66,44544.16,122
2025-02-17 11:00:00,44545.16,44568.16,44545.16,44568.16,163
2025-02-17 11:15:00,44567.66,44572.16,44557.16,44565.16,152
2025-02-17 11:30:00,44564.16,44573.16,44557.16,44570.16,194
2025-02-17 11:45:00,44568.16,44590.16,44566.16,44586.16,183
2025-02-17 12:00:00,44586.16,44587.16,44574.16,44575.16,181
2025-02-17 12:15:00,44577.16,44578.66,44567.16,44571.16,158
2025-02-17 12:30:00,44571.16,44576.66,44568.16,44569.16,90
2025-02-17 12:45:00,44568.16,44575.66,44563.66,44575.66,127
2025-02-17 13:00:00,44576.16,44588.66,44576.16,44585.16,111
2025-02-17 13:15:00,44585.66,44590.16,44572.16,44573.16,116
2025-02-17 13:30:00,44574.16,44584.66,44573.16,44580.16,106
2025-02-17 13:45:00,44581.16,44582.66,44572.66,44582.66,97
2025-02-17 14:00:00,44584.16,44597.66,44576.66,44597.16,112
2025-02-17 14:15:00,44597.16,44605.16,44596.66,44604.16,113
2025-02-17 14:30:00,44603.16,44609.16,44598.16,44606.16,115
2025-02-17 14:45:00,44605.16,44614.16,44602.16,44606.16,146
2025-02-17 15:00:00,44606.16,44619.16,44604.66,44617.16,137
2025-02-17 15:15:00,44617.16,44626.66,44612.16,44623.16,139
2025-02-17 15:30:00,44622.16,44629.16,44618.16,44629.16,173
2025-02-17 15:45:00,44628.16,44633.16,44621.66,44625.16,116
2025-02-17 16:00:00,44624.16,44639.16,44624.16,44633.16,203
2025-02-17 16:15:00,44633.16,44637.16,44620.16,44621.16,285
2025-02-17 16:30:00,44623.16,44627.76,44582.26,44605.76,843
2025-02-17 16:45:00,44605.26,44616.76,44599.26,44604.26,508
2025-02-17 17:00:00,44605.26,44610.26,44576.26,44581.26,391
2025-02-17 17:15:00,44580.76,44590.76,44573.76,44581.26,302
2025-02-17 17:30:00,44581.76,44593.06,44573.26,44585.06,278
2025-02-17 17:45:00,44584.56,44589.06,44567.06,44579.06,292
2025-02-17 18:00:00,44579.06,44609.06,44575.06,44608.56,273
