Date,Open,High,Low,Close,Volume
2025-05-29 15:05:00,42240.91,42285.91,42203.41,42223.41,720
2025-05-29 15:10:00,42222.41,42238.91,42184.41,42207.91,694
2025-05-29 15:15:00,42207.91,42209.41,42176.91,42181.41,501
2025-05-29 15:20:00,42180.91,42202.41,42170.41,42197.41,502
2025-05-29 15:25:00,42196.41,42223.41,42187.41,42198.94,443
2025-05-29 15:30:00,42198.64,42235.91,42185.94,42223.41,247
2025-05-29 15:35:00,42223.41,42226.41,42167.41,42167.91,186
2025-05-29 15:40:00,42168.41,42173.41,42146.91,42161.91,386
2025-05-29 15:45:00,42161.41,42198.41,42160.91,42188.41,475
2025-05-29 15:50:00,42186.91,42218.91,42180.41,42211.41,458
2025-05-29 15:55:00,42211.41,42215.41,42191.91,42195.91,393
2025-05-29 16:00:00,42196.41,42210.41,42185.41,42195.41,553
2025-05-29 16:05:00,42194.41,42217.91,42191.91,42210.41,410
2025-05-29 16:10:00,42208.41,42212.41,42172.41,42183.41,488
2025-05-29 16:15:00,42183.41,42241.91,42183.41,42233.41,472
2025-05-29 16:20:00,42233.91,42267.41,42233.91,42248.41,490
2025-05-29 16:25:00,42248.41,42257.41,42208.91,42209.91,662
2025-05-29 16:30:00,42210.41,42221.91,42113.71,42145.21,1468
2025-05-29 16:35:00,42148.71,42176.21,42135.21,42170.21,1306
2025-05-29 16:40:00,42168.21,42186.21,42132.71,42135.21,1290
2025-05-29 16:45:00,42135.21,42166.71,42121.71,42133.71,1211
2025-05-29 16:50:00,42133.71,42231.71,42111.21,42231.21,1256
2025-05-29 16:55:00,42231.21,42238.71,42137.21,42184.21,1108
2025-05-29 17:00:00,42183.21,42211.21,42162.21,42165.71,1236
2025-05-29 17:05:00,42164.71,42164.71,42054.21,42069.21,1369
2025-05-29 17:10:00,42069.71,42127.71,42069.71,42124.71,1315
2025-05-29 17:15:00,42124.71,42157.71,42075.21,42085.21,1290
2025-05-29 17:20:00,42085.21,42116.71,42070.21,42116.71,1315
2025-05-29 17:25:00,42115.21,42176.21,42112.21,42157.21,1211
2025-05-29 17:30:00,42158.71,42200.21,42088.21,42091.21,1269
2025-05-29 17:35:00,42089.71,42152.21,42089.21,42132.21,1220
2025-05-29 17:40:00,42131.21,42133.21,42086.21,42113.21,1157
2025-05-29 17:45:00,42114.71,42148.21,42102.21,42121.21,1133
2025-05-29 17:50:00,42119.71,42157.21,42099.71,42138.21,1118
2025-05-29 17:55:00,42138.71,42180.21,42129.71,42162.71,953
2025-05-29 18:00:00,42163.21,42173.21,42077.21,42100.71,1076
2025-05-29 18:05:00,42096.21,42129.21,42084.21,42100.21,1141
2025-05-29 18:10:00,42100.71,42135.21,42063.21,42068.71,1148
2025-05-29 18:15:00,42067.71,42105.21,42065.21,42078.21,1115
2025-05-29 18:20:00,42079.21,42123.71,42071.71,42121.21,1051
2025-05-29 18:25:00,42120.21,42166.21,42119.21,42157.21,990
2025-05-29 18:30:00,42156.21,42163.71,42013.21,42046.21,1202
2025-05-29 18:35:00,42046.21,42076.21,42017.21,42024.71,1124
2025-05-29 18:40:00,42024.71,42058.21,42012.21,42038.71,1088
2025-05-29 18:45:00,42038.21,42055.21,42007.21,42010.71,1072
2025-05-29 18:50:00,42010.21,42069.21,42009.21,42030.21,1004
2025-05-29 18:55:00,42029.21,42038.71,41850.71,41892.71,1284
2025-05-29 19:00:00,41893.21,41915.71,41815.21,41905.21,1444
2025-05-29 19:05:00,41904.71,41941.71,41900.71,41919.21,1223
2025-05-29 19:10:00,41918.71,41999.21,41910.21,41992.21,1125
2025-05-29 19:15:00,41991.21,42038.71,41991.21,42031.21,1047
2025-05-29 19:20:00,42030.21,42041.21,42007.21,42029.71,963
2025-05-29 19:25:00,42029.71,42047.21,42012.21,42032.21,940
2025-05-29 19:30:00,42033.71,42063.21,42029.21,42049.71,974
2025-05-29 19:35:00,42049.21,42063.71,42030.21,42055.21,880
2025-05-29 19:40:00,42055.21,42084.21,42054.21,42076.21,874
2025-05-29 19:45:00,42075.21,42085.21,42041.31,42044.71,852
2025-05-29 19:50:00,42044.71,42076.21,42033.21,42073.71,974
2025-05-29 19:55:00,42072.71,42120.71,42059.21,42101.21,899
2025-05-29 20:00:00,42099.21,42156.21,42095.21,42117.71,946
2025-05-29 20:05:00,42117.71,42131.71,42091.21,42101.71,966
2025-05-29 20:10:00,42100.21,42133.81,42096.21,42121.81,850
2025-05-29 20:15:00,42122.81,42128.81,42092.71,42111.21,1010
2025-05-29 20:20:00,42111.71,42155.71,42104.21,42130.21,998
2025-05-29 20:25:00,42130.21,42140.21,42097.21,42114.21,1029
2025-05-29 20:30:00,42113.71,42146.21,42101.71,42113.21,1020
2025-05-29 20:35:00,42112.21,42141.21,42103.21,42121.71,998
2025-05-29 20:40:00,42121.21,42153.71,42115.21,42119.21,948
2025-05-29 20:45:00,42119.71,42139.21,42084.21,42087.71,1013
2025-05-29 20:50:00,42086.21,42121.71,42083.21,42095.21,1044
2025-05-29 20:55:00,42095.71,42108.21,42072.21,42076.21,1029
2025-05-29 21:00:00,42077.21,42108.21,42073.21,42106.71,1008
2025-05-29 21:05:00,42105.21,42132.21,42101.71,42110.21,976
2025-05-29 21:10:00,42110.71,42127.71,42095.71,42115.21,950
2025-05-29 21:15:00,42114.71,42117.81,42045.71,42049.21,916
2025-05-29 21:20:00,42050.21,42079.71,42024.21,42062.71,1124
2025-05-29 21:25:00,42063.21,42101.21,42057.21,42076.71,1059
2025-05-29 21:30:00,42078.21,42139.21,42075.71,42130.71,1035
2025-05-29 21:35:00,42130.21,42158.21,42129.71,42153.71,812
2025-05-29 21:40:00,42153.71,42173.31,42143.21,42162.21,806
2025-05-29 21:45:00,42161.71,42177.81,42155.31,42158.31,768
2025-05-29 21:50:00,42160.31,42179.81,42159.31,42167.31,744
2025-05-29 21:55:00,42166.81,42184.41,42114.71,42141.71,827
2025-05-29 22:00:00,42142.21,42178.21,42138.71,42166.21,882
2025-05-29 22:05:00,42166.21,42173.21,42123.71,42144.71,1050
2025-05-29 22:10:00,42144.71,42158.71,42127.21,42128.21,951
2025-05-29 22:15:00,42129.21,42172.21,42122.71,42171.21,761
2025-05-29 22:20:00,42167.71,42195.31,42162.31,42181.71,877
2025-05-29 22:25:00,42181.71,42198.21,42136.31,42141.21,896
2025-05-29 22:30:00,42141.21,42183.71,42141.21,42172.21,896
2025-05-29 22:35:00,42172.71,42178.81,42155.21,42160.21,825
2025-05-29 22:40:00,42160.21,42192.31,42160.21,42187.31,833
2025-05-29 22:45:00,42187.81,42252.21,42184.81,42223.71,913
2025-05-29 22:50:00,42224.71,42265.71,42151.71,42171.21,1231
2025-05-29 22:55:00,42178.71,42223.21,42166.71,42213.21,1185
2025-05-29 23:00:00,42212.71,42232.58,42187.08,42188.08,722
2025-05-29 23:05:00,42187.08,42197.08,42164.18,42179.18,452
2025-05-29 23:10:00,42176.18,42191.28,42170.28,42183.28,332
2025-05-29 23:15:00,42183.78,42195.78,42182.78,42195.28,169
2025-05-29 23:20:00,42194.78,42205.78,42192.78,42201.28,162
2025-05-29 23:25:00,42201.78,42210.78,42199.78,42200.28,128
2025-05-29 23:30:00,42199.78,42206.78,42189.78,42190.78,106
2025-05-29 23:35:00,42191.78,42196.28,42184.28,42192.78,111
2025-05-29 23:40:00,42192.28,42193.78,42179.78,42180.78,112
2025-05-29 23:45:00,42183.28,42183.28,42169.28,42170.28,153
2025-05-30 01:05:00,42157.71,42179.21,42130.71,42177.21,253
2025-05-30 01:10:00,42178.21,42189.71,42175.71,42176.71,139
2025-05-30 01:15:00,42173.21,42176.31,42165.31,42175.81,111
2025-05-30 01:20:00,42176.31,42179.31,42152.71,42154.21,155
2025-05-30 01:25:00,42152.21,42153.21,42130.21,42133.21,177
