Date,Open,High,Low,Close,Volume
2024-09-04 20:00:00,18590.28,18596.88,18572.28,18575.78,1769
2024-09-04 20:30:00,18574.78,18584.78,18565.28,18572.38,1728
2024-09-04 21:00:00,18572.38,18580.38,18559.78,18575.28,1752
2024-09-04 21:30:00,18574.28,18585.28,18550.78,18552.28,2323
2024-09-04 22:00:00,18551.78,18572.28,18545.28,18569.28,2290
2024-09-04 22:30:00,18569.78,18581.28,18549.78,18567.28,2462
2024-09-04 23:00:00,18567.28,18568.98,18534.18,18553.88,1846
2024-09-04 23:30:00,18554.28,18562.98,18553.08,18556.18,532
2024-09-05 01:00:00,18575.18,18578.68,18563.48,18565.48,428
2024-09-05 01:30:00,18566.18,18579.88,18564.98,18573.38,514
2024-09-05 02:00:00,18573.38,18575.38,18550.08,18555.58,680
2024-09-05 02:30:00,18556.08,18556.88,18534.08,18556.28,1329
2024-09-05 03:00:00,18555.18,18580.78,18555.18,18578.28,1460
2024-09-05 03:30:00,18577.78,18583.88,18559.98,18576.08,594
2024-09-05 04:00:00,18576.58,18579.68,18569.58,18574.28,527
2024-09-05 04:30:00,18574.28,18594.38,18568.48,18574.48,702
2024-09-05 05:00:00,18574.48,18579.98,18555.38,18575.18,456
2024-09-05 05:30:00,18576.18,18586.78,18569.18,18579.78,255
2024-09-05 06:00:00,18579.78,18581.28,18547.88,18563.18,389
2024-09-05 06:30:00,18564.18,18564.18,18538.78,18542.08,455
2024-09-05 07:00:00,18540.58,18547.38,18536.18,18540.58,205
2024-09-05 07:30:00,18540.58,18544.18,18522.88,18535.88,237
2024-09-05 08:00:00,18535.38,18550.98,18518.38,18548.38,530
2024-09-05 08:30:00,18548.88,18572.38,18546.58,18551.88,588
2024-09-05 09:00:00,18551.38,18567.08,18533.88,18554.88,964
2024-09-05 09:30:00,18554.88,18560.88,18513.98,18530.88,763
2024-09-05 10:00:00,18530.38,18627.18,18505.18,18607.18,2349
2024-09-05 10:30:00,18607.68,18648.28,18607.68,18645.68,1387
2024-09-05 11:00:00,18645.68,18653.08,18600.63,18624.68,1307
2024-09-05 11:30:00,18623.68,18627.68,18602.58,18621.68,1101
2024-09-05 12:00:00,18621.68,18629.68,18556.58,18559.58,1145
2024-09-05 12:30:00,18559.58,18613.58,18559.08,18611.58,1054
2024-09-05 13:00:00,18610.08,18634.68,18603.13,18610.68,993
2024-09-05 13:30:00,18610.68,18626.68,18604.68,18623.68,937
2024-09-05 14:00:00,18622.68,18640.18,18611.68,18639.68,1008
2024-09-05 14:30:00,18638.68,18650.68,18607.13,18616.73,1225
2024-09-05 15:00:00,18615.73,18643.73,18582.18,18601.18,1698
2024-09-05 15:30:00,18601.68,18644.28,18597.18,18632.78,2302
2024-09-05 16:00:00,18633.78,18645.18,18624.68,18636.78,1411
2024-09-05 16:30:00,18637.28,18650.68,18593.68,18636.11,2593
2024-09-05 17:00:00,18636.06,18681.18,18626.18,18660.88,3197
2024-09-05 17:30:00,18661.38,18677.98,18621.38,18641.38,2866
2024-09-05 18:00:00,18642.38,18648.38,18592.88,18595.88,2732
2024-09-05 18:30:00,18596.38,18596.38,18549.98,18550.98,2283
2024-09-05 19:00:00,18550.48,18573.48,18538.98,18569.98,2186
2024-09-05 19:30:00,18569.48,18593.98,18560.98,18586.98,1494
2024-09-05 20:00:00,18585.98,18592.48,18566.98,18569.98,1483
2024-09-05 20:30:00,18570.48,18623.98,18569.48,18623.98,1909
2024-09-05 21:00:00,18624.48,18628.48,18606.58,18609.08,2033
2024-09-05 21:30:00,18609.08,18635.58,18608.08,18614.58,2042
2024-09-05 22:00:00,18614.58,18615.98,18584.98,18599.98,2198
2024-09-05 22:30:00,18599.48,18615.48,18567.98,18598.98,2234
2024-09-05 23:00:00,18598.98,18616.88,18577.08,18582.98,2429
