Date,Open,High,Low,Close,Volume
2019-02-08,25045.97,25115.97,24878.17,25110.77,696981
2019-02-11,25093.56,25246.76,25003.76,25044.36,1150386
2019-02-12,25055.97,25462.97,25048.17,25432.77,942826
2019-02-13,25455.31,25630.91,25448.31,25510.91,973160
2019-02-14,25500.65,25618.65,25304.25,25411.45,1348320
2019-02-15,25419.17,25906.17,25275.77,25894.17,1256586
2019-02-18,25924.84,25940.84,25853.24,25908.84,584235
2019-02-19,25890.85,25966.85,25797.85,25889.65,910366
2019-02-20,25887.06,25991.66,25833.46,25969.66,1046544
2019-02-21,25961.5,26091.1,25762.9,25843.3,1197746
2019-02-22,25849.71,26055.31,25816.91,26049.31,1005446
2019-02-25,26108.14,26249.74,26050.74,26091.74,931349
2019-02-26,26092.27,26162.67,25966.67,26030.47,1084233
2019-02-27,26026.09,26064.09,25881.29,26035.49,938397
2019-02-28,26018.04,26018.44,25927.64,25931.24,189264
2019-03-05,25868.68,25900.68,25732.68,25809.08,808280
2019-03-06,25793.16,25845.56,25637.76,25687.76,1106859
2019-03-07,25652.61,25720.61,25351.81,25474.61,1316420
2019-03-08,25487.18,25525.38,25218.98,25524.78,1349026
2019-03-11,25432.71,25763.08,25229.71,25757.88,1164630
2019-03-12,25743.08,25770.28,25525.08,25571.74,1132050
2019-03-13,25563.54,25788.54,25471.54,25769.64,1161161
2019-03-14,25738.04,25795.04,25619.04,25724.59,1053491
2019-03-15,25726.19,25928.59,25646.59,25856.59,994564
2019-03-18,25838.51,25958.45,25781.51,25947.45,869878
2019-03-19,25944.45,26118.25,25820.45,25855.46,939656
2019-03-20,25868.46,25942.86,25670.86,25712.66,1284712
2019-03-21,25732.06,26021.06,25587.66,25982.86,1243435
2019-03-22,25991.06,26016.06,25510.26,25524.86,1581578
2019-03-25,25574.29,25617.89,25366.29,25552.12,1663373
2019-03-26,25593.52,25811.72,25556.32,25618.38,1325998
2019-03-27,25639.98,25771.38,25433.38,25609.21,1471567
2019-03-28,25619.21,25753.21,25519.21,25735.06,1308585
2019-03-29,25797.66,25958.06,25741.06,25952.66,1106486
2019-04-01,26063.78,26286.72,26061.78,26237.93,1015220
2019-04-02,26273.73,26275.33,26125.73,26160.92,908365
2019-04-03,26154.72,26311.21,26138.52,26266.61,989645
2019-04-04,26260.01,26406.41,26193.41,26366.89,1042685
2019-04-05,26366.49,26506.49,26362.89,26378.89,861919
2019-04-08,26401.38,26401.38,26253.18,26323.27,806600
2019-04-09,26326.27,26350.67,26107.47,26157.74,835435
2019-04-10,26148.94,26237.94,26111.94,26184.03,844760
2019-04-11,26193.63,26234.63,26066.63,26164.74,858779
2019-04-12,26180.94,26448.94,26151.94,26421.14,831573
2019-04-15,26429.88,26487.68,26329.08,26400.55,703194
2019-04-16,26396.35,26568.75,26391.95,26426.06,863226
2019-04-17,26437.86,26527.66,26395.66,26449.19,827935
2019-04-18,26459.99,26607.19,26318.19,26580.59,889675
2019-04-19,26574.68,26574.68,26574.68,26574.68,5
2019-04-22,26615.79,26643.79,26463.79,26534.5,726698
2019-04-23,26524.9,26705.9,26479.9,26676.24,734084
2019-04-24,26679.24,26712.24,26536.44,26569.02,828842
2019-04-25,26573.02,26596.02,26310.22,26448.82,873933
2019-04-26,26437.62,26551.82,26369.82,26520.22,917945
2019-04-29,26537.32,26612.12,26512.32,26584.93,685608
2019-04-30,26574.73,26682.53,26428.93,26663.75,836431
2019-05-01,26680.75,26722.55,26361.44,26395.04,875383
2019-05-02,26401.24,26494.24,26183.64,26322.33,1198552
2019-05-03,26311.73,26552.53,26281.73,26551.53,840627
2019-05-06,26072.35,26485.95,25972.35,26303.04,1657643
2019-05-07,26323.44,26433.44,25794.04,25987.14,1796993
2019-05-08,25967.54,26123.54,25844.54,26009.54,1699395
2019-05-09,25980.94,25999.74,25517.74,25768.56,1860041
2019-05-10,25852.03,26021.16,25473.16,25965.96,2566576
2019-05-13,25732.12,25762.52,25229.12,25296.58,1925657
2019-05-14,25261.18,25693.98,25258.18,25594.19,1369979
2019-05-15,25603.59,25729.19,25342.19,25651.32,1405895
2019-05-16,25651.92,25955.92,25556.32,25882.35,1258284
2019-05-17,25891.35,25949.35,25629.35,25769.75,1519491
2019-05-20,25867.75,25905.55,25560.15,25741.7,1526992
2019-05-21,25752.9,25901.9,25721.9,25893.29,1103064
2019-05-22,25891.29,25912.29,25742.69,25767.71,1055253
2019-05-23,25743.11,25752.51,25324.31,25466.92,1480497
2019-05-24,25488.92,25660.52,25488.52,25605.52,1066755
2019-05-27,25627.63,25697.63,25589.63,25661.23,599992
2019-05-28,25658.43,25720.43,25334.43,25372.59,1154483
2019-05-29,25367.59,25374.19,24938.59,25135.79,1494451
2019-05-30,25111.99,25212.99,25055.19,25166.35,1149493
2019-05-31,24962.95,25046.35,24780.35,24799.75,1459978
2019-06-03,24643.5,24933.3,24607.3,24884.9,1685076
2019-06-04,24880.3,25412.27,24823.3,25364.27,1303004
2019-06-05,25396.67,25560.27,25334.27,25485.83,1273524
2019-06-06,25512.83,25798.63,25504.23,25682.03,1182738
2019-06-07,25722.03,26072.23,25700.03,26014.43,1031725
2019-06-10,26100.98,26215.11,26041.11,26085.33,1031939
2019-06-11,26066.73,26255.93,26004.13,26053.62,1028980
2019-06-12,26046.82,26094.62,25958.42,26035.02,987314
2019-06-13,26043.42,26149.42,25888.42,26092.22,1183450
2019-06-14,26084.62,26155.22,25981.82,26109.22,968426
2019-06-17,26159.44,26203.84,26050.04,26127.74,740661
2019-06-18,26123.14,26532.14,26062.14,26497.15,1069920
2019-06-19,26520.15,26585.15,26430.95,26566.5,1057574
2019-06-20,26598.9,26810.7,26548.9,26751.86,1020709
2019-06-21,26767.86,26924.06,26680.06,26683.06,1041183
2019-06-24,26737.68,26822.68,26729.68,26775.43,783086
2019-06-25,26780.23,26836.03,26550.83,26596.54,1071554
2019-06-26,26552.74,26717.54,26527.14,26527.14,1006005
2019-06-27,26553.14,26680.74,26460.94,26623.3,986771
2019-06-28,26627.3,26692.3,26542.3,26670.7,848368
2019-07-01,26836.99,26918.99,26634.99,26685.38,1009905
2019-07-02,26694.98,26829.18,26649.28,26805.43,864731
2019-07-03,26805.43,27014.12,26768.43,26986.12,661639
2019-07-04,26980.12,27016.12,26957.52,27002.05,354813
2019-07-05,27004.05,27016.85,26742.05,26916.05,848906
2019-07-08,26884.31,26890.11,26762.11,26812.26,867475
2019-07-09,26785.26,26824.26,26673.86,26795.03,841186
2019-07-10,26799.03,27005.03,26710.43,26899.25,968094
2019-07-11,26888.05,27110.85,26879.65,27104.66,848337
2019-07-12,27120.46,27351.86,27116.86,27331.86,724885
2019-07-15,27314.26,27422.05,27288.05,27364.45,680758
2019-07-16,27389.45,27423.65,27307.65,27354.68,727231
2019-07-17,27356.68,27405.68,27176.84,27205.04,725319
2019-07-18,27196.24,27363.63,27079.64,27257.83,982865
2019-07-19,27286.63,27358.63,27093.63,27100.63,967245
2019-07-22,27181.29,27242.29,27107.89,27202.28,901638
2019-07-23,27208.08,27387.48,27189.48,27342.07,819039
2019-07-24,27360.07,27376.87,27206.87,27280.27,855442
2019-07-25,27294.47,27382.27,27073.67,27136.3,1020390
2019-07-26,27153.9,27228.9,27138.9,27177.9,717237
2019-07-29,27189.23,27295.03,27152.43,27271.45,662018
2019-07-30,27270.45,27293.45,27085.45,27247.72,886939
2019-07-31,27254.32,27299.52,26738.92,26831.16,1227849
2019-08-01,26827.16,27191.76,26505.11,26541.91,1793157
2019-08-02,26550.51,26703.31,26259.71,26504.91,2023481
2019-08-05,26456.11,26512.91,25166.74,25204.14,2462185
2019-08-06,25149.14,26051.14,25134.14,25950.58,2727458
2019-08-07,25905.98,26090.98,25449.58,25995.58,2474556
2019-08-08,25913.98,26401.58,25876.18,26272.7,1724341
2019-08-09,26363.3,26419.7,26100.1,26321.9,1626168
2019-08-27,25919.11,26077.31,25821.31,25881.71,1123792
2019-09-12,27286.02,27311.5,27110.25,27218.0,1099243
2019-09-13,27214.75,27310.25,27180.25,27219.0,908496
2019-09-16,27076.25,27173.25,27009.0,27119.75,1207721
2019-09-17,27104.25,27134.25,26987.5,27124.75,914536
2019-09-18,27106.97,27186.52,26907.52,27158.01,922360
2019-09-19,27136.56,27274.06,27001.05,27116.61,1002608
2019-09-20,27116.81,27190.41,26893.25,26913.0,953376
2019-09-23,27010.22,27065.47,26826.32,27018.35,1003811
2019-09-24,27019.7,27124.35,26711.5,26875.6,1303268
2019-09-25,26874.76,27024.78,26743.38,26983.35,1277601
2019-09-26,26976.7,27068.39,26810.99,26911.85,1164812
2019-09-27,26909.2,27021.17,26719.02,26866.0,1319260
2019-09-30,26923.2,27003.57,26839.87,26990.35,1114815
2019-10-01,26985.88,27077.43,26554.88,26589.0,1252972
2019-10-02,26592.2,26657.79,25973.54,26048.2,1606244
2019-10-03,26043.4,26224.15,25742.35,26209.2,1769215
2019-10-04,26217.7,26591.0,26101.99,26558.0,1371896
2019-10-07,26397.76,26659.75,26386.7,26467.0,1295192
2019-10-08,26463.43,26597.25,26140.0,26191.6,1734304
2019-10-09,26184.0,26443.23,26129.68,26372.6,1575163
2019-10-10,26363.7,26645.31,26030.3,26605.7,2171067
2019-10-11,26606.59,27019.1,26545.19,26828.0,1610344
2019-10-14,26804.7,26941.78,26684.72,26800.11,1202256
2019-10-15,26805.0,27128.35,26802.35,27038.0,1030846
2019-10-16,27049.7,27066.01,26943.25,26980.0,1082273
2019-10-17,26972.09,27132.1,26921.9,27039.35,1058798
2019-10-18,27038.69,27066.45,26769.7,26805.0,1086086
2019-10-21,26763.2,26883.16,26751.81,26832.2,913301
2019-10-22,26847.52,26952.32,26763.57,26772.2,949390
2019-10-23,26791.2,26902.36,26638.26,26840.7,1059365
2019-10-24,26862.7,26922.53,26715.93,26794.7,951499
2019-10-25,26817.7,27021.78,26765.38,26951.0,789895
2019-10-28,26990.2,27176.44,26983.74,27090.7,785337
2019-10-29,27108.84,27166.19,27026.99,27102.7,792690
2019-10-30,27105.2,27282.35,27014.1,27235.7,872029
2019-10-31,27231.2,27240.76,26914.35,27042.2,1124141
2019-11-01,27050.2,27344.59,27027.09,27326.0,801748
2019-11-04,27343.2,27519.82,27343.2,27452.2,724284
2019-11-05,27458.7,27563.75,27437.1,27484.7,874826
2019-11-06,27493.24,27539.62,27412.47,27510.2,785365
2019-11-07,27480.2,27774.77,27429.92,27718.7,915831
2019-11-08,27714.99,27747.95,27578.25,27680.0,835688
2019-11-11,27667.2,27716.1,27508.35,27706.35,778313
2019-11-12,27699.0,27774.6,27640.35,27693.85,812255
2019-11-13,27702.7,27813.62,27568.1,27807.7,848837
2019-11-14,27800.49,27848.1,27676.85,27792.0,937041
2019-11-15,27779.59,28000.0,27767.85,27992.7,745268
2019-11-18,27988.2,28091.85,27960.85,28048.0,760974
2019-11-19,28046.98,28163.19,27893.85,27915.35,858053
2019-11-20,27910.86,27911.1,27678.35,27835.6,1088054
2019-11-21,27830.7,27871.6,27680.85,27774.1,1177874
2019-11-22,27772.76,27897.85,27750.6,27888.36,829043
2019-11-25,27949.0,28071.1,27930.6,28054.35,533294
2019-11-26,28046.65,28178.1,28028.6,28162.1,717400
2019-11-27,28142.0,28197.6,28084.1,28178.85,582466
2019-11-28,28174.7,28181.6,28072.1,28128.2,357296
2019-11-29,28114.2,28130.08,28049.98,28071.2,482232
2019-12-02,28090.95,28207.6,27785.1,27785.6,941884
2019-12-03,27789.75,27861.1,27327.1,27507.1,1225628
2019-12-04,27483.33,27733.35,27403.85,27649.1,1057890
2019-12-05,27645.0,27777.35,27562.6,27689.1,999561
2019-12-06,27686.0,28039.89,27677.35,28029.6,720889
2019-12-09,28014.7,28041.85,27877.35,27894.6,636437
2019-12-10,27885.7,27959.6,27725.85,27925.85,977500
2019-12-11,27917.0,27980.85,27806.1,27934.35,859090
2019-12-12,27924.2,28231.1,27859.35,28152.35,1135883
2019-12-13,28186.7,28293.35,28032.6,28168.1,1330536
2019-12-16,28181.2,28353.74,28160.6,28244.36,754042
2019-12-17,28223.93,28349.1,28184.1,28274.85,728860
2019-12-18,28270.89,28342.35,28265.35,28289.6,598147
2019-12-19,28290.91,28429.85,28261.6,28417.85,612521
2019-12-20,28433.0,28536.85,28386.6,28483.35,604570
2019-12-23,28518.0,28597.6,28488.66,28578.85,449293
2019-12-24,28578.35,28606.85,28512.2,28512.2,289294
2019-12-25,28512.2,28512.2,28512.2,28512.2,5
2019-12-26,28523.7,28645.86,28516.2,28612.7,368382
2019-12-27,28612.2,28747.35,28612.2,28635.35,555027
2019-12-30,28655.0,28692.99,28435.1,28474.1,710409
2019-12-31,28461.7,28589.85,28377.85,28584.35,615479
2020-01-01,28574.2,28574.2,28574.2,28574.2,9
2020-01-02,28577.7,28908.1,28572.1,28907.1,742440
2020-01-03,28900.7,28925.1,28465.35,28642.1,1414425
2020-01-06,28515.0,28742.1,28393.6,28669.6,1095751
2020-01-07,28671.2,28778.1,28492.1,28544.6,1068112
2020-01-08,28526.2,28876.35,28129.85,28807.35,1881951
2020-01-09,28818.0,28992.85,28785.85,28965.85,948279
2020-01-10,28963.2,29065.35,28794.6,28813.35,813598
2020-01-13,28819.7,28950.6,28819.7,28907.35,758935
2020-01-14,28923.0,29059.6,28783.1,28974.1,1050673
2020-01-15,28978.6,29135.6,28885.6,29080.35,995316
2020-01-16,29083.0,29310.6,29075.7,29306.6,728593
2020-01-17,29288.2,29405.6,29287.1,29317.85,734547
2020-01-20,29330.0,29364.1,29275.6,29333.2,328456
