Date,Open,High,Low,Close,Volume
2025-05-29 15:05:00,5940.62,5947.02,5935.12,5937.42,646
2025-05-29 15:10:00,5937.12,5939.32,5931.42,5937.02,501
2025-05-29 15:15:00,5936.92,5937.12,5932.82,5933.52,338
2025-05-29 15:20:00,5933.42,5935.92,5930.92,5935.22,387
2025-05-29 15:25:00,5935.12,5938.92,5934.12,5935.69,330
2025-05-29 15:30:00,5935.62,5942.42,5934.19,5941.72,512
2025-05-29 15:35:00,5941.72,5941.92,5931.92,5932.12,396
2025-05-29 15:40:00,5932.12,5932.72,5927.92,5931.32,466
2025-05-29 15:45:00,5931.22,5936.42,5931.22,5934.42,349
2025-05-29 15:50:00,5934.22,5938.42,5932.62,5937.42,339
2025-05-29 15:55:00,5937.42,5938.22,5933.32,5933.92,264
2025-05-29 16:00:00,5934.22,5937.42,5932.72,5935.12,409
2025-05-29 16:05:00,5934.92,5938.42,5934.42,5936.42,332
2025-05-29 16:10:00,5936.22,5937.22,5933.22,5936.42,355
2025-05-29 16:15:00,5936.42,5941.72,5936.42,5941.22,293
2025-05-29 16:20:00,5941.32,5944.72,5940.72,5942.72,293
2025-05-29 16:25:00,5943.12,5943.72,5937.42,5941.82,483
2025-05-29 16:30:00,5941.72,5943.22,5924.72,5931.72,1028
2025-05-29 16:35:00,5932.22,5933.42,5926.22,5927.42,969
2025-05-29 16:40:00,5927.22,5930.92,5920.92,5921.42,858
2025-05-29 16:45:00,5921.42,5923.72,5914.92,5915.42,769
2025-05-29 16:50:00,5915.42,5929.72,5913.72,5929.42,732
2025-05-29 16:55:00,5929.72,5931.42,5918.42,5923.62,815
2025-05-29 17:00:00,5923.62,5927.62,5919.42,5919.42,900
2025-05-29 17:05:00,5918.92,5918.92,5900.42,5902.42,901
2025-05-29 17:10:00,5902.52,5908.92,5899.92,5908.42,875
2025-05-29 17:15:00,5908.62,5911.42,5897.12,5900.42,811
2025-05-29 17:20:00,5900.22,5904.62,5896.42,5903.42,851
2025-05-29 17:25:00,5903.12,5913.92,5902.62,5912.12,646
2025-05-29 17:30:00,5912.42,5916.42,5904.62,5904.92,734
2025-05-29 17:35:00,5904.62,5914.12,5904.62,5911.12,751
2025-05-29 17:40:00,5911.12,5911.12,5904.42,5908.62,688
2025-05-29 17:45:00,5908.92,5914.52,5907.42,5912.72,678
2025-05-29 17:50:00,5912.62,5918.42,5910.12,5916.12,555
2025-05-29 17:55:00,5915.92,5922.42,5914.92,5920.62,449
2025-05-29 18:00:00,5920.62,5921.42,5910.42,5913.62,549
2025-05-29 18:05:00,5913.12,5916.12,5909.92,5912.42,595
